,tweets
68,"RT @THR: Jennifer Lawrence wins the #GoldenGlobe for Best Actress in a Comedy or Musical for ""Silver Linings Playbook."" http://t.co/bEbOJaJ5"
69,RT @JLdaily: Jennifer Lawrence has just won the @goldenglobes award for 'Best Actress in a Comedy or Musical' #goldenglobes #GOJLAW
70,RT @TVGuide: Best actress for comedy/musical goes to Jennifer Lawrence #GoldenGlobes
71,Jennifer Lawrence won comedy or musical actress! #GoldenGlobes
72,RT @TVGuide: Best actress for comedy/musical goes to Jennifer Lawrence #GoldenGlobes
73,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
74,RT @washingtonpost: Jennifer Lawrence wins best actress in a comedy or musical movie for #SilverLinings http://t.co/DhsQq2FK #GoldenGlobes
75,Jennifer Lawrence wins Best Actress Motion Picture Comedy or Musical for Silver Linings Playbook. #GoldenGlobes
76,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
77,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
78,Jennifer Lawrence wins best actress in a comedy or musical. Hmm... Jessica Chastain might not have a lock on Oscar? #GoldenGlobes
79,Jennifer Lawrence wins Best Actress: Motion Picture - Comedy or Musical for #TheSilverLiningsPlaybook! #GoldenGlobes
80,"Jennifer Lawrence wins the #GoldenGlobes for Best Actress in a Comedy or Musical for ""Silver Linings Playbook."" http://t.co/zJpmz5DX"
81,YAY! Jennifer Lawrence wins Best Actress in a Comedy/Musical for the AMAZING Silver Linings Playbook #GoldenGlobes
82,"Best #Actress in a Motion Picture, #Comedy or #Musical;: #JenniferLawrence, ""#SilverLinings Playbook,"" &amp; amusingly raw speech. #GoldenGlobes"
83,"Best actress in a musical or comedy goes to Jennifer Lawrence (""Silver Linings Playbook"") #GoldenGlobes http://t.co/0VvZj4ka"
84,"RT @ABC: Jennifer Lawrence wins best actress, motion picture comedy or musical, for ""Silver Lining Playbook"" http://t.co/r51EfFPg #GoldenGlobes"
85,RT @Variety: WINNER: Jennifer Lawrence wins best actress in a musical/comedy for “Silver Linings Playbook” #GoldenGlobes
86,"RT @APEntertainment: Jennifer Lawrence wins best actress in a comedy or musical for ""Silver Linings Playbook"" #Goldenglobes"
87,SILVER LININGS PLAYBOOK star JENNIFER LAWRENCE won #GoldenGlobes  for Best Performance by an Actress in a Motion Picture – Musical or Comedy
88,Jennifer Lawrence wins the award for Best Actress Comedy Or Musical. That must mean she can't be nominated for drama. Weird. #GoldenGlobes
89,Jennifer Lawrence wins Best Actress in a Comedy or Musical for #SilverLiningsPlaybook! #GoldenGlobes
90,RT @washingtonpost: Jennifer Lawrence wins best actress in a comedy or musical movie for #SilverLinings http://t.co/DhsQq2FK #GoldenGlobes
91,"Jennifer Lawrence wins Best Actress, Motion Picture Comedy or Musical for Silver Linings Playbook #GoldenGlobes"
92,RT @660News: Jennifer Lawrence wins Best Actress Motion Picture Comedy or Musical for Silver Linings Playbook. #GoldenGlobes
93,RT @CinemarkUSA: Best actress motion picture comedy or musical goes to: Jennifer Lawrence! @Silver_Linings ! #GoldenGlobes
94,RT @hulu: Best Actress in a Comedy or Musical goes to Jennifer Lawrence for Silver Linings Playbook. #GoldenGlobes #KatnissWinsAgain
95,RT @HuffPostEnt: Jennifer Lawrence is your Golden Globes winner for Best Actress in a comedy or musical. Also: she taunted Meryl Streep. #goldenglobes
96,RT @660News: Jennifer Lawrence wins Best Actress Motion Picture Comedy or Musical for Silver Linings Playbook. #GoldenGlobes
97,"RT @ABC: Jennifer Lawrence wins best actress, motion picture comedy or musical, for ""Silver Lining Playbook"" http://t.co/r51EfFPg #GoldenGlobes"
98,RT @hulu: Best Actress in a Comedy or Musical goes to Jennifer Lawrence for Silver Linings Playbook. #GoldenGlobes #KatnissWinsAgain
99,Lawrence wins best actress in comedy or musical in film. Heard mixed reviews on Silver Lingings Playbook as a whole. #GoldenGlobes
100,RT @PageToPremiere: Best actress in a Motion Picture (Comedy or Musical) goes to Jennifer Lawrence for #SilverLinings. Congrats Jen! Amazing! #GoldenGlobes
101,"RT @ABC: Jennifer Lawrence wins best actress, motion picture comedy or musical, for ""Silver Lining Playbook"" http://t.co/r51EfFPg #GoldenGlobes"
102,@TVGuide: Best actress for comedy/musical goes to Jennifer Lawrence #GoldenGlobes” did the song playing when she came up inc a 4 letter wrd?
103,RT @USATODAY: Jennifer Lawrence wins best actress in a comedy or musical movie for #SilverLinings http://t.co/y0cfCGHF #GoldenGlobes
104,RT @USATODAY: Jennifer Lawrence wins best actress in a comedy or musical movie for #SilverLinings http://t.co/y0cfCGHF #GoldenGlobes
105,"RT @THR: Jennifer Lawrence wins the #GoldenGlobe for Best Actress in a Comedy or Musical for ""Silver Linings Playbook."" http://t.co/bEbOJaJ5"
106,RT @HuffPostCeleb: Jennifer Lawrence is your #GoldenGlobes winner for Best Actress in a comedy or musical. Also: she taunted Meryl Streep.
107,RT @Variety: WINNER: Jennifer Lawrence wins best actress in a musical/comedy for “Silver Linings Playbook” #GoldenGlobes
108,RT @JenLawFans: Jennifer Lawrence wins Best Actress in Musical or Comedy! #GoldenGlobes http://t.co/ZveCalFT
109,Best Actress in a Motion Picture Musical/Comedy goes to Jennifer Lawrence. #GoldenGlobes
110,RT @JLdaily: Jennifer Lawrence has just won the @goldenglobes award for 'Best Actress in a Comedy or Musical' #goldenglobes #GOJLAW
111,RT @Variety: WINNER: Jennifer Lawrence wins best actress in a musical/comedy for “Silver Linings Playbook” #GoldenGlobes
112,And the winner is Jennifer Lawrence. YES #SilverLiningsPlaybook #GOLDENGLOBES Best Actress in a Comedy/Musical
113,RT @TODAY_ent: Best actress in a motion picture comedy or musical goes to Jennifer Lawrence for #SilverLiningsPlaybook http://t.co/sKR3pN9e #GoldenGlobes
114,"RT @FashionweekNYC: Jennifer Lawrence wins the Golden Globe for Best Actress in a Comedy/Musical in ""Silver Linings Playbook"" #GoldenGlobes"
115,RT @CinemarkUSA: Best actress motion picture comedy or musical goes to: Jennifer Lawrence! @Silver_Linings ! #GoldenGlobes
116,RT @washingtonpost: Jennifer Lawrence wins best actress in a comedy or musical movie for #SilverLinings http://t.co/DhsQq2FK #GoldenGlobes
117,RT @hulu: Best Actress in a Comedy or Musical goes to Jennifer Lawrence for Silver Linings Playbook. #GoldenGlobes #KatnissWinsAgain
118,"RT @FashionweekNYC: Jennifer Lawrence wins the Golden Globe for Best Actress in a Comedy/Musical in ""Silver Linings Playbook"" #GoldenGlobes"
119,"RT @RallisP: Jennifer Lawrence wins best actress for Silver Linings Playbook (in ""Musical or Comedy,"" so it doesn't really count). #GoldenGlobes"
120,"RT @ABC: Jennifer Lawrence wins best actress, motion picture comedy or musical, for ""Silver Lining Playbook"" http://t.co/r51EfFPg #GoldenGlobes"
121,RT @CineplexMovies: Jennifer Lawrence wins Best Actress in a comedy/musical for 'Silver Linings Playbook' and says 'I beat Meryl!' #risky #GoldenGlobes ^AM
122,Best movie in ages MT @USATODAY Jennifer Lawrence wins best actress in a comedy or musical movie for #SilverLinings http://t.co/oFxUfwyo
123,"RT @KNXDavid: #GoldenGlobes Jennifer Lawrence wins for best actress in a motion picture comedy or musical, Silver Linings Playbook.  @KNX1070"
124,RT @TODAY_ent: Best actress in a motion picture comedy or musical goes to Jennifer Lawrence for #SilverLiningsPlaybook http://t.co/sKR3pN9e #GoldenGlobes
125,Yay! RT “@USATODAY: Jennifer Lawrence wins best actress in a comedy or musical movie for #SilverLinings http://t.co/vvRASfua #GoldenGlobes”
