,tweets
1985,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1986,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
1988,Best Motion Picture- Comedy or Musical goes to #TheGrandBudapestHotel #GoldenGlobes
1989,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1990,RT @outmagazine: #GrandBudapestHotel wins best motion picture (comedy or musical)! #GoldenGlobes
1991,"Best Motion Picture, Comedy or Musical goes to #TheGrandBudapestHotel #GoldenGlobes"
1992,The film The Grand Budapest Hotel wins for Best Motion Picture Comedy or Musical! Congratulations on the honor! #GoldenGlobes
1993,Best Motion Picture: Comedy or Musical goes to . . . The Grand Budapest Hotel! #GoldenGlobes
1994,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1995,"Best motion picture, comedy or musical goes to... The Grand Budapest Hotel #GoldenGlobes"
1996,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
1997,Motion Picture - Comedy or Musical goes to The Grand Budapest Hotel. My 10th favorite film of 2014. Solid win. #GoldenGlobes
1999,"Best motion picture, comedy or musical goes to ""Grand Budapest Hotel""! #GoldenGlobes http://t.co/MPKt92QB7j"
2000,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
2001,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2002,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
2003,"Best Motion Picture, Comedy or Musical goes to The Grand Budapest Hotel!!! I was expecting Birdman so a little shocked! #GoldenGlobes"
2004,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2005,"Best Motion Picture - Musical/Comedy goes to ""The Grand Budapest Hotel."" #GoldenGlobes"
2006,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
2007,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2008,"Best Motion Picture, Comedy or Musical goes to ""The Grand Budapest Hotel"" #GoldenGlobes  http://t.co/DGANK1THCW"
2009,The Grand Budapest Hotel wins for best motion picture comedy/musical! #GoldenGlobes
2010,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
2011,"Best motion picture comedy or musical goes to ""The Grand Budapest Hotel"" #GoldenGlobes"
2012,"Congratulations to #GrandBudapestHotel! #GoldenGlobe Winner for Best Motion Picture, Musical or Comedy! http://t.co/CkA01lmvu2"
2013,"""The Grand Budapest Hotel"" wins for best motion picture (comedy or musical)! #GoldenGlobes"
2015,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2016,RT @voxdotcom: The Golden Globe for Best Motion Picture (Comedy or Musical) goes to... The Budapest Hotel.
2017,"""The Grand Budapest Hotel"" wins motion picture, musical or comedy #goldenglobes"
2018,"#TheGrandBudapestHotel wins Best Motion Picture, Comedy, or Musical #GoldenGlobes"
2019,"""The Grand Budapest Hotel"" wins for best motion picture (comedy or musical)! #GoldenGlobes via @USATODAY"
2020,"RT @THR: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical #GoldenGlobes  http://t.co/1GXGBQydTi"
2021,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2022,"Yes!!! RT @GossipCop: #GoldenGlobes BEST MOTION PICTURE COMEDY OR MUSICAL Goes To ""The Grand Budapest Hotel"" http://t.co/frg5QCI83K"
2023,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2024,"“@eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/BgEyIsedDO”"
2025,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2026,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
2027,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2028,#GOLDENGLOBES AWARD winner for Best Motion Picture – Comedy or Musical: The Grand Budapest Hotel
2029,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
2030,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
2031,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
2032,"RT @CineplexMovies: Best Motion Picture, Comedy or Musical goes to... THE GRAND BUDAPEST HOTEL #GoldenGlobes"
2034,"RT @CBSThisMorning: The Grand Budapest Hotel wins the #GoldenGlobes Award for best motion picture, comedy or musical"
2035,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2036,"The winner of Best Motion Picture, Musical or Comedy, is Wes Anderson's The Grand Budapest Hotel.  #GoldenGlobes http://t.co/WAVHyXPmnj"
2037,"Golden Globe Winner for Best Motion Picture, Musical or Comedy is #TheGrandBudapestHotel!!!  #GoldenGlobes"
2038,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
2039,"RT @THR: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical #GoldenGlobes  http://t.co/1GXGBQydTi"
2040,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2041,"Best Motion Picture, Comedy or Musical goes to The Grand Budapest Hotel! Congrats Wes Anderson and all involved. #GoldenGlobes"
2042,"“@HuffPostEnt: Whoa! Best motion picture, comedy or musical goes to The Grand Budapest Hotel #GoldenGlobes” ABSOLUTE SHOCKER!!"
2043,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2044,"RT @THR: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical #GoldenGlobes  http://t.co/1GXGBQydTi"
2045,Best Motion Picture - Comedy/Musical goes to #GrandBudapestHotel #GoldenGlobes
2046,RT @PodgeTown: The film The Grand Budapest Hotel wins for Best Motion Picture Comedy or Musical! Congratulations on the honor! #GoldenGlobes
2047,"The @goldenglobes for Best Motion Picture, Musical or Comedy goes to #TheGrandBudapestHotel! #GoldenGlobes"
2049,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
2050,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
2051,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
2052,"RT @vulture: Best motion picture, comedy or musical goes to THE GRAND BUDAPEST HOTEL! #GoldenGlobes"
2053,Best Motion Picture - Musical or Comedy goes to ... #TheGrandBudapestHotel http://t.co/4XFRFo9OQR #GoldenGlobes
2054,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2055,"Wes Anderson film The Grand Budapest hotel wins big for Best Motion Picture, Comedy or Musical! #GoldenGlobes"
2056,"Best Motion Picture, Comedy or Musical goes to THE GRAND BUDAPEST HOTEL #GoldenGlobes #ItsStageTalk"
2057,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2058,"#TheGrandBudapestHotel wins for Best Motion Picture, Musical or Comedy! #GoldenGlobes"
2059,"“@HuffPostEnt: Whoa! Best motion picture, comedy or musical goes to The Grand Budapest Hotel #GoldenGlobes” @comradsnarky"
2060,"yessss! “@eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/rIUTOhTtPm”"
2061,"THE GRAND BUDAPEST HOTEL wins Best Motion Picture, Comedy/Musical.
#GoldenGlobes http://t.co/oB9SVFi1KJ"
2062,The Grand Budapest Hotel wins for Best Motion Picture - Comedy or Musical. Go Wes Anderson! #GoldenGlobes
2063,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
2064,"""The Grand Budapest Hotel"" wins for Best Motion Picture, Musical or Comedy. #GoldenGlobes"
2065,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2066,Best Motion Picture - Musical or Comedy goes to ... #TheGrandBudapestHotel http://t.co/WC2xAoqBSl #GoldenGlobes via @newscomauHQ
2067,"RT @CBSThisMorning: The Grand Budapest Hotel wins the #GoldenGlobes Award for best motion picture, comedy or musical"
2068,"“@nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes”&gt;&gt;&gt; SOO GOOOD!!!!"
2069,"The Grand Budapest Hotel wins best motion picture, comedy or musical #goldenglobes!"
2070,"And the award for Best Motion Picture - Comedy or Musical goes to...""The Grand Budapest Hotel""! #GoldenGlobes"
2072,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2073,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
2074,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
2075,Finally - “@voxdotcom: The Golden Globe for Best Motion Picture (Comedy or Musical) goes to... The Budapest Hotel.”
2076,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
2077,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
2078,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
2079,"RT @THR: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical #GoldenGlobes  http://t.co/1GXGBQydTi"
2080,"Best motion picture, musical or comedy winner is Grand Budapest Hotel. I love this movie! See it as fast as you can #GoldenGlobes"
