,tweets
102,"""@CineplexMovies: Best Supporting Actress in a Motion Picture goes to... AMY ADAMS for BIG EYES #GoldenGlobes"" Comedy or Musical. Is neither"
103,Amy Adams wins for Big Eyes! #Bestsupportingactressinamotionpicturecomedyormusical #GoldenGlobes2015
104,RT @CineplexMovies: Best Supporting Actress in a Motion Picture goes to... AMY ADAMS for BIG EYES #GoldenGlobes
105,Best supporting actress in a Motion PIcture up now #GoldenGlobes #9News
106,Best Supporting Actress in Motion Picture goes to Patricia Arquette AHAHA SAID IT FIRST #GoldenGlobes
107,"WINNER: Patricia Arquette, BOYHOOD -- Best Supporting Actress, Motion Picture #GoldenGlobes"
108,"Best supporting actress in a motion picture goes to Patricia Arquette, ""Boyhood"" #GoldenGlobes"
109,"Best Supporting Actress – Motion Picture goes to Patricia Arquette for Boyhood. Even though, Jessica Chastain should have won. #GoldenGlobes"
110,Patricia Arquette wins the Golden Globe for Best Supporting Actress in a motion picture for 'Boyhood'. Well deserved #GoldenGlobes
111,Best Supporting Actress in a Motion Picture goes to Patrica Arquette for #Boyhood! #GoldenGlobes
112,WINNER Best Supporting Actress in a Motion Picture: PATRICIA ARQUETTE (Boyhood) #GoldenGlobes
113,"Best Supporting Actress, Motion Picture: WINNER: Patricia Arquette, for BOYHOOD! #GoldenGlobes"
114,the Golden Globe for best supporting actress in a motion picture goes to... Patricia Arquette for Boyhood
115,"RT @screencrushnews: WINNER: Patricia Arquette, BOYHOOD -- Best Supporting Actress, Motion Picture #GoldenGlobes"
116,"RT @screencrushnews: WINNER: Patricia Arquette, BOYHOOD -- Best Supporting Actress, Motion Picture #GoldenGlobes"
117,Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood #GoldenGlobes
118,"Best Supporting (dynamic, compelling, etc) actress in a motion picture goes to Patricia Arquette! #GoldenGlobes"
119,Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood #GoldenGlobes
120,"#GoldenGlobes BEST SUPPORTING ACTRESS, MOTION PICTURE Goes To Patricia Arquette http://t.co/f9BAH1THQt"
121,Patricia Arquette wins the #GoldenGlobe for Best Supporting Actress - Motion Picture for Boyhood.
122,Best Supporting Actress in a Motion Picture award goes to Patricia Arquette (#Boyhood). #GoldenGlobes
123,The award for Best Supporting Actress in a Motion Picture goes to Patricia Arquette for “Boyhood” #GoldenGlobes
124,"#BestSupportingActress in Motion Picture
Goes to
#PatriciaArquette for #Boyhood 
#GoldenGlobes2015"
125,Best Supporting Actress in a Motion Picture goes to... PATRICIA ARQUETTE for BOYHOOD #GoldenGlobes
126,"Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood! 

#GoldenGlobes"
127,The #GoldenGlobe for Best Supporting Actress in a Motion Picture goes to...Patricia Arquette in 'Boyhood!'
128,Best Supporting Actress in a Motion Picture goes to Patricia Arquette for #Boyhood #GoldenGlobes
129,"Winner of #GoldenGlobe for Best Supporting Actress In A Motion Picture:
Patricia Arquette – Boyhood
http://t.co/j6H6D61sGQ"
130,The #goldenglobe for Best Supporting Actress in a Motion Picture goes to Patricia Arquette for 'Boyhood' http://t.co/mOt0741Q2a
131,RT @NYDNEntertain: The award for Best Supporting Actress in a Motion Picture goes to Patricia Arquette for “Boyhood” #GoldenGlobes
132,Patricia Arquette wins Best Supporting Actress in a Motion Picture for #Boyhood. #GoldenGlobes2015
133,#GoldenGlobes Award for Best Supporting Actress in a Motion Picture goes to Patricia Arquette #Boyhood
134,"RT @screencrushnews: WINNER: Patricia Arquette, BOYHOOD -- Best Supporting Actress, Motion Picture #GoldenGlobes"
135,"patricia arquette wins best supporting actress in a motion picture for ""boyhood"" #goldenglobes"
136,Jared Leto announces the award for best supporting actress in a motion picture &amp; The Golden Globe goes to.. #GoldenGlobe
137,"Patricia Arquette
(Boyhood)
WINS! Best Supporting Actress Motion Picture #GoldenGlobes"
138,Best Supporting Actress in a Motion Picture went to Patricia Arquette http://t.co/7SZ7xsA9cZ
139,Patricia Arquette wins Best Supporting Actress (Motion Picture) #GoldenGlobes
140,Best supporting actress--motion picture goes to....Patricia Arquette #GoldenGlobes
141,Best Supporting Actress in a Motion Picture winner is Patricia Arquette for Boyhood #GoldenGlobes
142,@PattyArquette wins the award for Best Supporting Actress in a Motion Picture! #GoldenGlobes
143,"#GOLDENGLOBES AWARD winner for Best Supporting Actress in a Motion Picture: Patricia Arquette, Boyhood"
144,Best Supporting Actress – Motion Picture Award goes to #PatriciaArquette For #Boyhood #GoldenGlobes #Awardseason
145,The Golden Globe for Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood. #GoldenGlobes
146,#GoldenGlobes: Best supporting actress in a motion picture goes to Patricia Arquette for Boy Hood.
147,#GoldenGlobes: Best supporting actress in a motion picture goes to Patricia Arquette for Boy Hood.
148,#GoldenGlobes: Best supporting actress in a motion picture goes to Patricia Arquette for Boy Hood.
149,Best Supporting Actress in a Motion Picture goes to Patricia Arquette for #Boyhoodmovie #GoldenGlobes
150,WINNER - @goldenglobes: Best Supporting Actress in a Motion Picture - Patricia Arquette  - Boyhood (@BoyhoodMovie)
151,Best Supporting Actress in a Motion picture goes to Patricia Arquette for Boyhood! Yes she totally deserves this! #GoldenGlobes
152,Best Supporting Actress in a Motion Picture winner is Patricia Arquette for Boyhood! #GoldenGlobes #BitchFlicks
153,Patricia Arquette wins for best supporting actress in a motion picture #GoldenGlobes
154,"BEST SUPPORTING ACTRESS, Motion Picture goes to... Patricia Arquette, #Boyhood. #GoldenGlobes"
155,"RT @geeksofdoom: Best Supporting Actress, Motion Picture: WINNER: Patricia Arquette, for BOYHOOD! #GoldenGlobes"
156,Best supporting actress in a motion picture goes to @PattyArquette for @BoyhoodMovie #GoldenGlobes
157,Best supporting actress in a motion picture goes to Patricia Arquette for #Boyhood! #GoldenGlobes
158,"Best supporting actress in a motion picture goes to Patricia Arquette for ""Boyhood"" #GoldenGlobes"
159,Patricia Arquette wins Best Supporting Actress in a Motion Picture for #Boyhood @PattyArquette #GoldenGlobes  http://t.co/zuQzGn399t
160,Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood #GoldenGlobes
161,"#BestSupportingActressMotionPicture And the Golden Globes goes to...

(GRANDE LETO, GRANDISSIMO. BRAVO,... http://t.co/W9wDPGoDpj"
162,Patricia Arquette #Boyhood wins Best Supporting Actress in a Motion Picture #GoldenGlobes
163,Best supporting actress in a motion picture goes to . . . Patricia Arquette for @BoyhoodMovie! http://t.co/eMW9naXxDc
164,"WINNER: Patricia Arquette, Boyhood
Best Supporting Actress in a Motion Picture
#GoldenGlobes2015 LIVEBLOG: http://t.co/VgMXvSPsW5"
165,and the Best Supporting Actress in a Motion Picture Golden Globe goes to.....#PatriciaArquette #GoldenGlobes
166,The award for Best Supporting Actress in a Motion Picture goes to: Patricia Arquette for #Boyhood #GoldenGlobes
167,Best Supporting Actress in Motion Picture goes to Patricia Arquette #GoldenGlobes
168,RT @THR: Patricia Arquette wins Best Supporting Actress in a Motion Picture for #Boyhood @PattyArquette #GoldenGlobes  http://t.co/zuQzGn39…
169,"RT @TVGuideMagazine: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood! 

#GoldenGlobes"
170,"Boyhood wins its first award, Patricia Arquette gets best supporting actress in a motion picture #GoldenGlobes @SBSNews"
171,RT @HuffingtonPost: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood #GoldenGlobes
172,RT @THR: Patricia Arquette wins Best Supporting Actress in a Motion Picture for #Boyhood @PattyArquette #GoldenGlobes  http://t.co/zuQzGn39…
173,Golden Globe Winner for Best Supporting Actress in a Motion Picture is Patricia Arquette for #Boyhood!!!  #GoldenGlobes
174,Congratulations to @PattyArquette! #GoldenGlobe Winner for Best Supporting Actress in a Motion Picture! #Boyhood http://t.co/pBQ5ki7LUT
175,"Patricia Arquette wins the Best Supporting Actress in a Motion Picture Golden Globe for ""Boyhood"" #GoldenGlobes"
176,Supporting Actress from a Motion Picture award winner: Patricia Arquette from Boyhood #GoldenGlobes
177,"Best supporting actress in a motion picture goes to Patricia Arquette for ""Boyhood"" #GoldenGlobes"
178,"The @goldenglobes for Best Supporting Actress in a Motion Picture goes to 
Patricia Arquette - @BoyhoodMovie! #GoldenGlobes"
179,"Best Supporting Actress in a Motion Picture – Drama, Musical or Comedy goes to Patricia Arquette. #GoldenGlobes"
180,The Best Supporting Actress in a Motion Picture award goes to...Patricia Arquette #GoldenGlobes
181,"Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in ""Boyhood."" #GoldenGlobes"
182,"Best Supporting Actress in a Motion Picture goes to @PattyArquette for ""Boyhood"" #GoldenGlobes"
183,"RT @screencrushnews: WINNER: Patricia Arquette, BOYHOOD -- Best Supporting Actress, Motion Picture #GoldenGlobes"
184,Patricia Arquette wins Best Supporting Actress in a Motion Picture - so well deserved. #GoldenGlobes #Boyhood
185,Patricia Arquette wins best supporting actress in a motion picture for Boyhood #GoldenGlobes
186,RT @HuffingtonPost: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood #GoldenGlobes
187,“@goldenglobes: Best Supporting Actress in a Motion Picture - Patricia Arquette  - Boyhood (@BoyhoodMovie) - #GoldenGlobes” YES!!!! Knew it!
188,RT @THR: Patricia Arquette wins Best Supporting Actress in a Motion Picture for #Boyhood @PattyArquette #GoldenGlobes  http://t.co/zuQzGn39…
189,RT @THR: Patricia Arquette wins Best Supporting Actress in a Motion Picture for #Boyhood @PattyArquette #GoldenGlobes  http://t.co/zuQzGn39…
190,Best Supporting Actress in a Motion Picture goes to Patricia Arquette  - Boyhood #GoldenGlobes
191,Patricia Arquette wins Best Supporting Actress in a Motion Picture got her role in Boyhood #GoldenGlobes
192,RT @HuffingtonPost: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood #GoldenGlobes
193,Winner for Best Supporting Actress in a Motion Picture - Patricia Arquette  - Boyhood (@BoyhoodMovie) - #GoldenGlobes
194,Best Supporting Actress in a Motion Picture goes to Patricia Arquette in Boyhood - #GoldenGlobes
195,RT @THR: Patricia Arquette wins Best Supporting Actress in a Motion Picture for #Boyhood @PattyArquette #GoldenGlobes  http://t.co/zuQzGn39…
196,"Best Supporting Actress in a Motion Picture goes to ... Patricia Arquette, Boyhood. http://t.co/4XFRFo9OQR #GoldenGlobes"
197,RT @HuffingtonPost: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood #GoldenGlobes
198,RT @outmagazine: Best supporting actress in a motion picture goes to Patricia Arquette for #Boyhood! #GoldenGlobes
199,#GoldenGlobes for best supporting actress in a motion picture goes to Patricia Arquette for #Boyhood
200,The Golden Globe for best supporting actress in a motion picture goes to Patricia Arquette for Boyhood. #GoldenGlobes #Boyhoodmovie
201,"RT @screencrushnews: WINNER: Patricia Arquette, BOYHOOD -- Best Supporting Actress, Motion Picture #GoldenGlobes"
202,RT @THR: Patricia Arquette wins Best Supporting Actress in a Motion Picture for #Boyhood @PattyArquette #GoldenGlobes  http://t.co/zuQzGn39…
203,Patricia Arquette wins Best Supporting Actress - motion picture for Boyhood! #GoldenGlobes
204,@PattyArquette from @BoyhoodMovie  Wins Best Supporting Actress in a motion picture. #GoldenGlobes
205,Patricia Arouette of Boyhood won the #GoldenGlobe for best supporting actress in motion picture
206,Best Supporting Actress in a Motion Picture goes to Patricia Arquette for ‘Boyhood.’ #GoldenGlobes
207,Best Supporting Actress in a Motion Picture goes to Patricia Arquette for ‘Boyhood.’ #GoldenGlobes
208,Best Supporting Actress in a Motion Picture goes to Patricia Arquette for #Boyhood! #GoldenGlobes #etalkGLOBES
