,tweets
107,"RT @Culturalist: Congrats to @MichaelKeaton! #GoldenGlobe Winner for Best Actor In A Motion Picture, Musical or Comedy! #BirdmanMovie http:…"
108,"Best Actor in a Motion Picture, Comedy or Musical goes to @MichaelKeaton! Yes! Go, Batman... I mean, #Birdman! #GoldenGlobes"
109,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
110,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
111,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
112,"Yes. No Doubt! Michael Keaton wins Best Actor, Motion Picture – Comedy Or Musical for Birdman #GoldenGlobes http://t.co/akqkf1Ftl7"
113,Batman...we mean Birdman's #MichaelKeaton wins the @goldenglobes award for Best Actor in a Motion Picture - Comedy or Musical
114,"RT @nbc: And @MichaelKeaton wins the #GoldenGlobe for Best Actor in a Motion Picture, Comedy or Musical for his role in #Birdman!"
115,"RT @THR: .@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
116,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
117,"RT @THR: .@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
118,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
119,Michael Keaton of Birdman won the #GoldenGlobe for best actor in motion picture/comedy/musical.
120,"RT @HuffingtonPost: Best Actor in a Motion Picture, Musical or Comedy goes to Michael Keaton in Birdman #GoldenGlobes"
121,"RT @HuffingtonPost: Best Actor in a Motion Picture, Musical or Comedy goes to Michael Keaton in Birdman #GoldenGlobes"
122,"RT @CineplexMovies: Best Actor in a Motion Picture, Musical or Comedy goes to... MICHAEL KEATON for BIRDMAN #GoldenGlobes"
123,"RT @THR: .@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
124,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
125,"RT @eonline: Congrats! Michael Keaton wins Best Actor in a Motion Picture, Comedy or Musical at the #GoldenGlobes!"
126,Amy Adams presents the award for Best Actor in a Motion Picture- Comedy or Musical. The Golden Globe goes to Michael Keaton for Birdman.
127,RT @outmagazine: #MichaelKeaton wins best actor in a motion picture (musical or comedy) for #Birdman! #GoldenGlobes
128,"Michael Keaton wins for best actor in a motion picture comedy or musical, Birdman. 2nd win for the film. @KNX1070 #GoldenGlobes"
129,"RT @HuffingtonPost: Best Actor in a Motion Picture, Musical or Comedy goes to Michael Keaton in Birdman #GoldenGlobes"
130,RT @outmagazine: #MichaelKeaton wins best actor in a motion picture (musical or comedy) for #Birdman! #GoldenGlobes
131,"RT @eonline: Congrats! Michael Keaton wins Best Actor in a Motion Picture, Comedy or Musical at the #GoldenGlobes!"
132,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
133,"RT @THR: .@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
134,Michael Keaton wins Best Actor in a Motion Picture Comedy or Musical for Birdman #GoldenGlobes
135,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
136,"RT @HuffingtonPost: Best Actor in a Motion Picture, Musical or Comedy goes to Michael Keaton in Birdman #GoldenGlobes"
137,"RT @THR: .@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
138,Michael Keaton wins for best actor in a motion picture-comedy or musical #GoldenGlobes
139,"RT @HuffingtonPost: Best Actor in a Motion Picture, Musical or Comedy goes to Michael Keaton in Birdman #GoldenGlobes"
140,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
141,"haha yes! RT @GossipCop #GoldenGlobes BEST ACTOR, MOTION PICTURE COMEDY OR MUSICAL Goes To Michael Keaton http://t.co/Fdjpfm59HW"
142,"RT @HuffingtonPost: Best Actor in a Motion Picture, Musical or Comedy goes to Michael Keaton in Birdman #GoldenGlobes"
143,"RT @eonline: Congrats! Michael Keaton wins Best Actor in a Motion Picture, Comedy or Musical at the #GoldenGlobes!"
144,"And the winner for Best Actor in a Motion Picture, Comedy or Musical is @MichaelKeaton. #GoldenGlobes"
145,"RT @THR: .@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
146,"And the Golden Globe award for Best Actor in a Motion Picture, Musical or Comedy goes to #MichaelKeaton for Birdman #GoldenGlobes"
147,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
148,"Michael Keaton, aka Batman, wins Best Actor - Motion Picture, Musical or Comedy for #Birdman! http://t.co/NiMxA1C7tS #GoldenGlobes"
149,"RT @THR: .@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
150,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
