,tweets
64,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
65,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
66,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
67,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
68,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
69,"ALERT: Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes - ..."
70,"#GoldenGlobes #WINNER: Best Supporting Actress in a Series, Mini-Series, or Motion Picture Made for TV &gt; #JoanneFroggatt, #DowntonAbbey"
71,The award for Best Actress in a TV Miniseries or Motion Picture goes to Maggie Gyllenhaal for “The Honorable Woman” #GoldenGlobe
72,RT @NYDNEntertain: The award for Best Actress in a TV Miniseries or Motion Picture goes to Maggie Gyllenhaal for “The Honorable Woman” #Gol…
73,Best Actress in a mini-series or motion picture goes to Maggie Gyllenhaal for The Honorable Woman #GoldenGlobes
74,RT @joblocom: Best Actress in a mini-series or motion picture goes to Maggie Gyllenhaal for The Honorable Woman #GoldenGlobes
75,Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlobes
76,#GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture for her role in 'An Honorable Woman'!
77,"#GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture, salutes women in industry."
78,"RT @capitalfm_my: #GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture, salutes women in industry."
79,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
80,".@MGyllenhaal won the #GoldenGlobe for best actress in a miniseries or motion picture for “An Honorable Woman"" http://t.co/ucUsWCPIJV"
81,".@MGyllenhaal won the #GoldenGlobe for best actress in a miniseries or motion picture for “An Honorable Woman"" http://t.co/CnKDinhlG9"
82,".@MGyllenhaal won the #GoldenGlobe for best actress in a miniseries or motion picture for “An Honorable Woman"" http://t.co/Iqci3xIGja"
83,".@MGyllenhaal won the #GoldenGlobe for best actress in a miniseries or motion picture for “An Honorable Woman"" http://t.co/4THX0ZjdQs"
84,".@MGyllenhaal won the #GoldenGlobe for best actress in a miniseries or motion picture for “An Honorable Woman"" http://t.co/UB68a5JknR"
85,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
86,"RT @BostonGlobe: .@MGyllenhaal won the #GoldenGlobe for best actress in a miniseries or motion picture for “An Honorable Woman"" http://t.co…"
87,".@mgyllenhaal won the #GoldenGlobe for best actress in a miniseries or motion picture for “The Honourable Woman"" http://t.co/kJ2UlTdr6A"
88,".@mgyllenhaal won the #GoldenGlobe for best actress in a miniseries or motion picture for “The Honourable Woman"" http://t.co/kdujBkikwy"
89,".@mgyllenhaal won the #GoldenGlobe for best actress in a miniseries or motion picture for “The Honourable Woman"" http://t.co/TaJwBa36gX"
90,".@mgyllenhaal won the #GoldenGlobe for best actress in a miniseries or motion picture for “The Honourable Woman"" http://t.co/G72K4Jx8d2"
91,".@mgyllenhaal won the #GoldenGlobe for best actress in a miniseries or motion picture for “The Honourable Woman"" http://t.co/ep4OJgMTrf"
92,"RT @BostonGlobe: .@mgyllenhaal won the #GoldenGlobe for best actress in a miniseries or motion picture for “The Honourable Woman"" http://t.…"
93,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes."
94,"The Golden Globe for Best Supporting Actress in Series, Mini-Series or Motion Picture Made for TV goes to #DowntonAbbey's Joanne Froggatt!"
95,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes - @latime..."
96,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
97,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
98,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
99,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
100,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
101,"ALERT: Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes - ..."
102,"#GoldenGlobes #WINNER: Best Supporting Actress in a Series, Mini-Series, or Motion Picture Made for TV &gt; #JoanneFroggatt, #DowntonAbbey"
103,"RT @TVGuideMagazine: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood! 

#GoldenGlobes"
104,"RT @TVGuideMagazine: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood! 

#GoldenGlobes"
105,RT @TVOvermind: Best Supporting Actress in a Motion Picture goes to Patrica Arquette for #Boyhood! #GoldenGlobes
106,"RT @TVGuideMagazine: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood! 

#GoldenGlobes"
107,"RT @TVGuideMagazine: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood! 

#GoldenGlobes"
108,"RT @TVGuideMagazine: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood! 

#GoldenGlobes"
109,"RT @TVGuideMagazine: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood! 

#GoldenGlobes"
110,RT @celebtv: and the Best Supporting Actress in a Motion Picture Golden Globe goes to.....#PatriciaArquette #GoldenGlobes
111,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes."
112,"RT @TVGuideMagazine: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood! 

#GoldenGlobes"
113,"The Golden Globe for Best Supporting Actress in Series, Mini-Series or Motion Picture Made for TV goes to #DowntonAbbey's Joanne Froggatt!"
114,"#GoldenGlobes #WINNER: Best Supporting Actress in a Series, Mini-Series, or Motion Picture Made for TV &gt; #JoanneFroggatt, #DowntonAbbey"
115,Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlobes
116,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
117,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
118,"The Golden Globe for Best Supporting Actress in Series, Mini-Series or Motion Picture Made for TV goes to #DowntonAbbey's Joanne Froggatt!"
119,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes - @latime..."
120,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
121,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
122,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
123,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
124,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
125,"ALERT: Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes - ..."
126,"#GoldenGlobes #WINNER: Best Supporting Actress in a Series, Mini-Series, or Motion Picture Made for TV &gt; #JoanneFroggatt, #DowntonAbbey"
127,The award for Best Actress in a TV Miniseries or Motion Picture goes to Maggie Gyllenhaal for “The Honorable Woman” #GoldenGlobe
128,RT @NYDNEntertain: The award for Best Actress in a TV Miniseries or Motion Picture goes to Maggie Gyllenhaal for “The Honorable Woman” #Gol…
129,Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlobes
130,#GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture for her role in 'An Honorable Woman'!
131,"#GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture, salutes women in industry."
132,"RT @capitalfm_my: #GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture, salutes women in industry."
133,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
134,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
135,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes."
136,"The Golden Globe for Best Supporting Actress in Series, Mini-Series or Motion Picture Made for TV goes to #DowntonAbbey's Joanne Froggatt!"
137,"#GoldenGlobes #WINNER: Best Supporting Actress in a Series, Mini-Series, or Motion Picture Made for TV &gt; #JoanneFroggatt, #DowntonAbbey"
138,"The award for Best Supporting Actress in a Series, Miniseries or Motion Picture goes to
Joanne Froggatt for “Downton Abbey” #GoldenGlobes"
139,"RT @NYDNEntertain: The award for Best Supporting Actress in a Series, Miniseries or Motion Picture goes to
Joanne Froggatt for “Downton Abb…"
