,tweets
124,"RT @THR: Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes http://t.co/8SEmt4wlLx"
125,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
126,"Best actress in a motion picture, comedy or musical. #goldenglobes and the winner is..... #AmyAdams #BigEyes congrats! You deserve it!"
127,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
128,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
129,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
130,"""@CineplexMovies: Best Supporting Actress in a Motion Picture goes to... AMY ADAMS for BIG EYES #GoldenGlobes"" Comedy or Musical. Is neither"
131,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
132,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
133,"Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes"
134,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
135,"The @goldenglobes for Best Actress In A Motion Picture, Musical or Comedy goes to Amy Adams - #BigEyes! #GoldenGlobes"
136,Amy Adams from Big Eyes wins best actress motion picture comedy or musical. #GoldenGlobes
137,"RT @THR: Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes http://t.co/8SEmt4wlLx"
138,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
139,"#GoldenGlobes's Best Actress in a Motion Picture, Comedy/Musical goes to... Amy Adams - 'Big Eyes'"
140,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
141,"RT @THR: Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes http://t.co/8SEmt4wlLx"
142,"RT @THR: Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes http://t.co/8SEmt4wlLx"
143,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
144,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
145,Amy Adams wins for best actress in a motion picture-comedy or musical #GoldenGlobes
146,"RT @THR: Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes http://t.co/8SEmt4wlLx"
147,Best Actress in a Motion Picture - Comedy or Musical goes to Amy Adams - Big Eyes #GoldenGlobes
148,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
149,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
150,"HuffingtonPost: Best Actress In A Motion Picture, Musical or Comedy goes to Amy Adams in Big Eyes #GoldenGlobes"
151,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
152,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
153,RT @EntCity: Best actress in a Motion Picture - Comedy or Musical goes to Amy Adams for 'Big Eyes.' #GoldenGlobes
154,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
155,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
156,"RT @THR: Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes http://t.co/8SEmt4wlLx"
157,"""@yahooPOP: Best actress in a motion picture, comedy/musical goes to Amy Adams, ""Big Eyes"" #GoldenGlobes"" in love with her dress."
158,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
159,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
160,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
161,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
162,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
163,"RT @cfccreates: Best Actress for a Motion Picture - Comedy or Musical goes to Amy Adams, ""Big Eyes"" #GoldenGlobes"
164,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
165,Best Actress in a Motion Picture Musical or Comedy goes to Amy Adams for ‘Big Eyes.’ #GoldenGlobes http://t.co/EK1SOm6EfK
166,Best Actress in a Motion Picture Musical or Comedy goes to Amy Adams for ‘Big Eyes.’ #GoldenGlobes http://t.co/P82qhX1qtU
167,"Best Actress in a Motion Picture, Comedy or Musical goes to Amy Adams, ""Big Eyes""! #GoldenGlobes"
168,"RT @THR: Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes http://t.co/8SEmt4wlLx"
169,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
170,"RT @CBSShowbiz: The best actress in a motion picture comedy or musical prize goes to Amy Adams for ""Big Eyes"" #Golden Globes"
171,Best Actress in a Motion Picture Musical or Comedy goes to Amy Adams for ‘Big Eyes.’ #GoldenGlobes http://t.co/dmzQdYCSNY via @mashable
172,"Best Actress in a Motion Picture, Musical or Comedy goes to: #AmyAdams! #HD983 #TheJoeShow #GoldenGlobes"
173,"#GoldenGlobes Best actress - motion picture, comedy or musical goes to.... Amy Adams #BigEyes"
174,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
175,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
176,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
177,Amy Adams wins for Big Eyes! #Bestsupportingactressinamotionpicturecomedyormusical #GoldenGlobes2015
178,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
179,"Amy Adams wins for best actress in a motion picture, comedy or musical #GoldenGlobes"
180,Amy Adams wins Best Actress in a Motion Picture Comedy/Musical for #BigEyes! YAY #GoldenGlobes
181,"Amy Adams (Big Eyes) Wins 
Best Actress In A Motion Picture, Musical or Comedy
#GoldenGlobes"
182,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
183,Amy Adams wins the award for Best Actress in a Motion Picture- Comedy or Musical for Big Eyes. #GoldenGlobes
184,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
185,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
186,"RT @HuffingtonPost: Best Actress In A Motion Picture, Musical or Comedy goes to Amy Adams in Big Eyes #GoldenGlobes"
187,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
188,"RT @MetroPhilly: #GoldenGlobes: Best actress in a motion picture comedy or musical,  goes to Amy Adams for Big Eyes."
189,RT @NewsBreaker: WINNER - @goldenglobes: Best Actress in a Motion Picture - Comedy or Musical - Amy Adams - Big Eyes
190,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
191,"RT @HuffingtonPost: Best Actress In A Motion Picture, Musical or Comedy goes to Amy Adams in Big Eyes #GoldenGlobes"
192,The award for Best Actress - Motion Picture - Comedy or Musical goes to Amy Adams. Take that Meryl Streep! #GoldenGlobes
193,"Amy Adams wins best actress in motion picture, comedy or musical  for 'Big Eyes' #GoldenGlobes http://t.co/oAWQUTD2e6"
194,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
195,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
196,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
197,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
198,RT @NewsBreaker: WINNER - @goldenglobes: Best Actress in a Motion Picture - Comedy or Musical - Amy Adams - Big Eyes
199,"Amy Adams wins #GoldenGlobes award for best actress in a motion picture, comedy or musical for #BigEyes"
200,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
201,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
202,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
203,"RT @HuffingtonPost: Best Actress In A Motion Picture, Musical or Comedy goes to Amy Adams in Big Eyes #GoldenGlobes"
204,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
205,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
206,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
207,"RT @HuffingtonPost: Best Actress In A Motion Picture, Musical or Comedy goes to Amy Adams in Big Eyes #GoldenGlobes"
208,"RT @eonline Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
209,Best Actress in a Motion Picture - Comedy or Musical goes to #AmyAdams for #BigEyes. Amy is a total class act! #GoldenGlobes
210,RT @mashentertain: Best Actress in a Motion Picture Musical or Comedy goes to Amy Adams for ‘Big Eyes.’ #GoldenGlobes http://t.co/P82qhX1qtU
211,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
212,"RT @HuffingtonPost: Best Actress In A Motion Picture, Musical or Comedy goes to Amy Adams in Big Eyes #GoldenGlobes"
213,Amy Adams wins Best Actress in a Motion Picture - Comedy or Musical for Big Eyes #GoldenGlobes http://t.co/MS2MvU3F11
214,RT @mashable: Best Actress in a Motion Picture Musical or Comedy goes to Amy Adams for ‘Big Eyes.’ #GoldenGlobes http://t.co/EK1SOm6EfK
215,"“@nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!” @SarahSmwilson"
216,"Amy Adams wins the Golden Globe for Best Actress in a Motion Picture, Musical or Comedy for #BigEyes. #GoldenGlobes"
217,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
218,RT @mashable: Best Actress in a Motion Picture Musical or Comedy goes to Amy Adams for ‘Big Eyes.’ #GoldenGlobes http://t.co/EK1SOm6EfK
219,"RT @HuffingtonPost: Best Actress In A Motion Picture, Musical or Comedy goes to Amy Adams in Big Eyes #GoldenGlobes"
220,"One of the best !! “@eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes”"
221,"RT @Culturalist: Congrats to Amy Adams! #GoldenGlobe Winner for Best Actress In A Motion Picture, Musical or Comedy! #BigEyesMovie http://t…"
222,"RT @THR: Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes http://t.co/8SEmt4wlLx"
223,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
224,"RT @THR: Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes http://t.co/8SEmt4wlLx"
225,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
226,"Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes!"
227,RT @NewsBreaker: WINNER - @goldenglobes: Best Actress in a Motion Picture - Comedy or Musical - Amy Adams - Big Eyes
228,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
